[2026-07-14 15:59:39] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.038s
[2026-07-14 16:05:05] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 8.110s
[2026-07-14 16:05:14] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-17 17:14:02] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.696s
[2026-07-17 17:14:11] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.034s
[2026-07-17 17:14:31] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.128s
[2026-07-17 17:14:40] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-17 17:20:53] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.562s
[2026-07-17 17:24:29] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.564s
[2026-07-17 17:24:38] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.071s
[2026-07-17 17:45:48] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.326s
[2026-07-17 17:45:57] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.045s
[2026-07-17 17:46:33] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.720s
[2026-07-17 17:46:42] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.038s
[2026-07-17 18:06:16] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.544s
[2026-07-17 18:06:25] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.038s
[2026-07-17 18:07:04] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.173s
[2026-07-17 18:07:13] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.038s
[2026-07-17 18:47:47] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 9.804s
[2026-07-17 18:47:56] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.038s
[2026-07-17 18:53:16] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 10.020s
[2026-07-17 18:53:25] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.041s
[2026-07-22 12:52:28] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.227s
[2026-07-22 12:52:37] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-22 12:52:47] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.331s
[2026-07-22 12:52:56] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.034s
[2026-07-22 12:53:25] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.623s
[2026-07-22 12:53:34] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-22 12:55:52] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.761s
[2026-07-22 12:56:01] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-22 12:56:22] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.123s
[2026-07-22 12:56:31] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-22 12:57:01] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.367s
